type,floor,rent,spc1,spc2,lat,lng,toilet,station,parking,internet,gas,washing_machine,air_conditioner,refrigerator,elevator,microwave,breakfast,heating,move_in_date,sink,introduce
OR,B1,50,19,16.5,37.50054,126.924358,1,1,0,1,1,1,1,1,1,1,1,0,1,1,실제사진O｜즉시 입주O｜현관보안O｜7호선 이용이 편리한 원룸
DDDGG,B1,45,23.1,23,37.511402,126.954329,1,1,1,1,1,1,1,1,1,1,0,0,1,1,방1크고  내부상태 깔끔 도배장판 새로함
OR,4,48,18,18,37.512087,126.940868,1,1,0,1,1,1,1,1,1,1,1,0,1,1,노량진역 도보 2분거리 위치굿 채광 통풍좋고 깨끗한원룸
OR,B1,37,25,19,37.501142,126.950621,1,1,0,1,1,1,1,1,1,1,1,0,1,1,상도역5분 중앙대 숭실대 치안굿 채광굿
OR,3,38,16,16,37.509749,126.945797,1,0,0,1,1,1,1,1,1,1,0,0,1,1,2개의 큰창으로 햇빛잘들고 통풍좋으며 조용하고 깨끗한 원룸
DDDGG,2,40,20,19.8,37.51077,126.955298,1,1,1,1,1,1,1,1,1,1,1,0,1,1,풀옵션으로 방 넓고 좋습니다 빠른입주
OR,3,55,14,14,37.505682,126.956051,1,0,1,1,1,1,1,1,1,1,1,0,1,1,중문 3분 풀옵션 원룸 평지 지상층
OR,1,38,26,16.5,37.508545,126.94638,1,0,0,1,1,1,1,1,1,1,1,0,1,1,실2층. 리모델링원룸. 깨끗하게 관리잘되는집.
OR,1,45,23,21,37.512337,126.936131,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"진짜 깔끔한 꿀매물,  가격도 저렴해요"
OR,2,40,22,20,37.501504,126.924261,1,1,0,1,1,1,1,1,1,1,1,0,1,1,대로변 평지 정남향 채광까지 좋은 원룸
DDDGG,1,40,23,14.85,37.511294,126.926343,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천"
OR,3,60,29,20.4,37.500217,126.952386,1,0,0,1,1,1,1,1,1,1,1,0,1,1,융자없는집. 엘베있는집. 리모델링완료. 화이트톤넓은집
OR,2,40,14.92,14,37.503849,126.934701,1,1,0,1,1,1,1,1,1,1,1,0,1,1,7호선 장승배기역 도보5분 원룸
DDDGG,1,40,23,14.85,37.511294,126.926343,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천"
OR,2,60,79,22,37.508188,126.95698,1,0,0,1,1,1,1,1,1,1,1,0,1,1,신축원룸 중앙대3분거리 중대병원5분거리 흑석역8분거리 저렴한원룸
OR,2,49,16,16,37.506221,126.948326,1,1,0,1,1,1,1,1,1,1,1,0,1,1,신축5년된 풀옵션원룸으로 조용하고 깨끗하며 전세가능
OR,2,40,15,15,37.50842,126.946562,1,0,0,1,1,1,1,1,1,1,0,0,1,1,남동향 남서향 2개의 큰창으로 햇빛 잘들고 가격이 정말 저렴한 원룸
OR,3,40,16.52,16.52,37.509783,126.945991,1,0,0,1,1,1,1,1,1,1,1,0,1,1,학원가 관리잘된 원룸
OR,B1,35,29,18.1,37.508535,126.947478,1,0,1,1,1,1,1,1,1,1,1,0,1,1,깨끗한준신축. 보안좋고 관리잘되는집. 안심대로변
OR,1,40,14.57,14.57,37.512146,126.937809,1,1,0,1,1,1,1,1,1,1,1,0,1,1,안심추천.깔끔.풀옵션.가성비굿.
OR,2,48,12,12,37.511609,126.944829,1,1,0,1,1,1,1,1,1,1,0,0,1,1,신축4년차 보안 잘 되어 있는 원룸 월세
OR,2,52,29,18,37.501142,126.950621,1,1,0,1,1,1,1,1,1,1,1,0,1,1,융자없는집. 상도역4분. 중앙대숭실대. 편의시설밀집. 안전한위치
OR,2,50,29,23.1,37.500102,126.933507,0,1,0,1,1,1,0,0,1,0,1,0,1,0,
DDDGG,B1,30,23,14.85,37.511294,126.926343,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천"
OR,B1,42,13,13,37.512428,126.94346,1,1,0,1,1,1,1,1,1,1,1,0,1,1,노량진역 도보 3분거리 신축4년차 원룸
DDDGG,1,30,23,14.85,37.511294,126.926343,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천"
OR,3,60,32,20.5,37.500217,126.952386,1,0,1,1,1,1,1,1,1,1,0,0,1,1,중대숭실대 오픈형 엘베유 주택가메인도로 위치
DDDGG,3,40,23,14.85,37.511294,126.926343,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천"
DDDGG,1,40,23,14.85,37.511294,126.926343,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"1호선 대방역 초초역세권, 샛강역 도보 15분, 풀옵션, 직장인 추천"
DDDGG,1,60,46.8,46,37.511026,126.938933,1,1,0,1,1,1,1,1,1,1,1,0,1,1,노량진역 초역세권 도보 3분
OR,B1,27,16,16,37.508692,126.947129,1,0,1,1,1,1,1,1,1,1,0,0,1,1,깨끗하고 조용한데 가격이 고시텔보다 저렴한 원룸
OR,1,60,23,19.8,37.50547,126.955937,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"중앙대 중문 30초거리 깔끔한 원룸, 젠틀 임대인 원하는거 다 들어줌"
OR,2,33,15,15,37.511573,126.945076,1,1,0,1,1,1,1,1,1,1,1,0,1,1,풀옵션입니다 단기가능합니다
OR,2,50,19.8,19,37.503765,126.935998,1,1,1,1,1,1,1,1,1,1,0,0,1,1,7호선 역세권 풀옵션 원룸 무료주차 선착순
OR,2,35,12,12,37.512498,126.946252,1,1,0,1,1,1,1,1,1,1,0,0,1,1,가성비굿 위치좋고 컨디션 좋은 리모델링 귀한 매물
OR,B1,45,21,17.19,37.501948,126.950379,1,1,0,1,1,1,1,1,1,1,0,0,1,1,2016년 사용승인 잘 관리된 넓고 깔끔한 풀옵션 대로변 편의시설 인접
OR,1,34,29,17.1,37.509222,126.945285,1,0,0,1,1,1,1,1,1,1,0,0,1,1,융자없는집. 학원가3분. 가성비좋은방
OR,3,40,16,16,37.504976,126.935138,1,1,0,1,1,1,1,1,1,1,0,0,1,1,장승배기역 역세권 엘베있는 초저렴 원룸
OR,1,40,18.18,18,37.503849,126.934701,1,1,0,1,1,1,1,1,1,1,0,0,1,1,장승배기역 도보 5분거리 이용 가능 언제 든지 입주협의 가능 밝고환해요
OR,1,45,16.53,16,37.500712,126.934578,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"L신대방삼거리역, 장승배기역 도보권 극강 원룸"
OR,3,48,20,20,37.511739,126.945052,1,1,0,1,1,1,1,1,1,1,0,0,1,1,노량진 학원가 큰 원룸 실6P 내부시설 좋음 빠른입주 가능
OR,1,60,26,19.83,37.503738,126.951926,1,0,0,1,1,1,1,1,1,1,1,0,1,1,중앙대5분 남학생전용 신축급컨디션 풀옵션 원룸입니다.
OR,B1,43,84,22,37.509296,126.931714,1,0,0,1,1,1,1,1,1,1,0,0,1,1,대방역도보10분 리모델링완료 옵션최고 넓은원룸 가성비최고
OR,B1,45,21,17,37.501948,126.950379,1,1,0,1,1,1,1,1,1,1,0,0,1,1,상도역 큰대로변 깔끔한 신축급 원룸
OR,1,43,16,4.84,37.508459,126.947545,1,0,0,1,1,1,1,1,1,1,0,0,1,1,깔끔한 풀옵션 원룸
OR,4,60,25,20,37.500217,126.952386,1,0,0,1,1,1,1,1,1,1,1,0,1,1,융자없고 깔끔수리된 엘베있는 풀옵션 원룸입니다.
OR,B1,38,84,22,37.509296,126.931714,1,0,0,1,1,1,1,1,1,1,0,0,1,1,대방역도보10분 리모델링완료 옵션최고 넓은원룸 가성비최고
OR,B1,33,14,12,37.511688,126.943687,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"공실, 학원가 인근,신축급 깨끗한 풀옵션 원룸"
OR,1,37,15,15,37.511523,126.947336,1,0,0,1,1,1,1,1,1,1,0,0,1,1,가성비최고 크기좋고 관리잘 된 풀옵션 원룸
OR,2,30,16.53,16,37.501755,126.932957,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"L신대방삼거리역, 장승배기역 도보권 극강 원룸"
OR,B1,30,29,18.1,37.508848,126.947218,1,0,1,1,1,1,1,1,1,1,0,0,1,1,실1층 지상층. 금액좋은방. 학원가7분. 관리잘되는집
OR,2,44,22,12.47,37.508563,126.946556,1,0,1,1,1,1,1,1,1,1,0,0,1,1,실제면적 훨씬 넓고 앞이 틔여있어 채광좋고 깨끗한 도시형생활주택
DDDGG,B1,38,84,22,37.509296,126.931714,1,0,0,1,1,1,1,1,1,1,1,0,1,1,대방역도보10분 리모델링완료 옵션최고 넓은원룸 가성비최고
OR,3,45,16,16,37.508692,126.947129,1,0,1,1,1,1,1,1,1,1,0,0,1,1,방크고  깨끗하며 채광좋고 조용한  원룸
OR,B1,43,20,17,37.509296,126.931714,1,0,0,1,1,1,1,1,1,1,0,0,1,1,돌침대옵션 리모델링 사이즈좋은 원룸 즉시입주
OR,3,45,18,18,37.504099,126.948156,1,1,0,1,1,1,1,1,1,1,0,0,1,1,상도역1분.관리인상주해 안전.채광좋아요.안심대로변
OR,2,43,19.84,19,37.509193,126.931516,1,0,0,1,1,1,1,1,1,1,0,0,1,1,따뜻하고 조용한 방
OR,B1,45,33,20,37.501948,126.950379,1,1,0,1,1,1,1,1,1,1,0,0,1,1,단기가능.상도역신축원룸. 안전한 대로변. 중대.숭대 통학가능.
OR,1,45,29,18.1,37.508982,126.945225,1,0,0,1,1,1,1,1,1,1,0,0,1,1,실2층 베란다있는방. 신축급컨디션. 관리잘되는집. 채광좋은집
OR,3,38,78,13,37.510443,126.945963,1,0,0,1,1,1,1,1,1,1,0,0,1,1,종일 햇살이 들어오는 노량진에서 보기 드문  가성비 좋은 정남향 원룸
OR,B1,40,20,19,37.501686,126.927859,1,1,0,1,1,1,1,1,1,1,1,0,1,1,대출가능 가성비끝판왕 초저렴신축원룸
OR,B1,40,20,19,37.50259,126.947235,1,1,0,1,1,1,1,1,1,1,1,0,1,1,상도역초역세권 보면 바로 계약가능 저렴한 신축분리형
OR,B1,35,33,19.8,37.500551,126.952351,1,0,0,1,1,1,1,1,1,1,1,0,1,1,안심대로변 상도역가까운 가성비원룸
OR,B1,50,25,21,37.50259,126.947235,1,1,0,1,1,1,1,1,1,1,0,0,1,1,상도역1분.신축넓은분리형.위치좋아안전.집주인거주
OR,B1,45,23,18,37.501511,126.950602,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"중앙대,숭실대 깔끔한 반지층 풀옵션 원룸"
OR,3,45,20,20,37.506346,126.946436,1,1,1,1,1,1,1,1,1,1,1,0,1,1,풀옵션원룸 빠른입주가능
OR,2,45,18,18,37.502288,126.933696,1,1,1,1,1,1,1,1,1,1,0,0,1,1,채광좋은 깔끔한 원룸 전세가능 주차가능
OR,2,40,19,17,37.509329,126.931514,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"집앞이 마을버스 정류장, 월세가 저렴한 집,"
OR,B1,38,19,17,37.509296,126.931714,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"넓은 원룸, 침대있음,  상태 아주깨끗하고  저렴"
OR,3,50,21.49,21,37.509138,126.93186,1,0,1,1,1,1,1,1,1,1,0,0,1,1,역세권신축급의 채광조은 큰 방
OR,3,40,19.84,19,37.512297,126.935181,1,1,1,1,1,1,1,1,1,1,0,0,1,1,햇살맛집넉넉한평수깔끔한내실
OR,2,40,21.49,21,37.509329,126.931514,1,0,1,1,1,1,1,1,1,1,0,0,1,1,역세권 신축급의 햇살조은 깔끔한 원룸
OR,B1,43,23,22,37.509296,126.931714,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"넓은방 아주 깨끗함, 바로 입주, 침대도 있음"
OR,3,45,16.5,16,37.512176,126.946913,1,0,1,1,1,1,1,1,1,1,0,0,1,1,깔끔하고 학원가에 인접한 원룸입니다
OR,2,30,25,20,37.502483,126.924278,1,0,1,0,1,1,0,1,1,0,1,0,1,0,
OR,2,40,25,20,37.502583,126.927677,0,1,1,1,1,0,0,0,0,1,0,0,0,0,
OR,2,35,25,19,37.502724,126.924984,1,0,1,1,1,0,1,1,0,1,0,1,1,1,
OR,2,35,25,20,37.501324,126.927407,0,1,1,1,0,1,0,0,0,1,1,1,1,0,
DDDGG,B1,45,72,19.83,37.501173,126.925904,1,1,0,1,1,1,1,1,1,1,0,0,1,1,초역세권 합리적인 금액에 좋은 컨디션을 보여주는 원룸 소개해드립니다
DDDGG,2,40,79,23.1,37.500373,126.933337,1,1,0,1,1,1,1,1,1,1,1,0,1,1,채광 좋은 가성비 꿀 매물
OR,B1,45,29,17.1,37.501511,126.950602,1,1,0,1,1,1,1,1,1,1,0,0,1,1,상도역4분. 화장실이 넓은방. 화이트톤. 안전한집
OR,B1,35,19,5,37.500656,126.934141,1,0,0,1,1,1,1,1,1,1,1,0,1,1,중문이 있어 분리형 느낌이 나는 지층 깔끔한 원룸입니다
OR,2,40,177,16.1,37.513009,126.945274,1,1,0,1,1,1,1,1,1,1,0,0,1,1,노량진역 300m로 최고의 입지
OPST,3,45,33,21.84,37.500139,126.927603,1,1,1,0,0,1,1,0,1,1,0,0,0,1,
OR,B1,40,22,20,37.501137,126.952358,1,0,1,1,1,1,1,1,1,1,0,0,1,1,화이트톤 가성비 좋은 원룸이 왔어요
OR,4,52,170,19.84,37.50445,126.925157,1,1,0,1,1,1,1,1,1,1,0,0,1,1, 서울지방병무청역 보라매역 초근접 대방동 깔끔한분리형원룸
OR,3,43,18,15,37.511864,126.947406,1,0,0,1,1,1,1,1,1,1,1,0,1,1,학원가 가성비 좋은 풀옵션 원룸
OR,4,60,19.83,19,37.505552,126.956334,1,0,1,1,1,1,1,1,1,1,1,0,1,1,중문 초입 대형원룸 평지 월차임에 전기만 별도
OR,1,40,18,14.8,37.508545,126.94638,1,0,0,1,1,1,1,1,1,1,1,0,1,1,안심추천.깔끔.풀옵션.가성비굿.합격방.
OR,3,60,22,22,37.508188,126.95698,1,0,1,1,1,1,1,1,1,1,1,0,1,1,신축원룸 정남향 녋은원룸 중앙대4분거리 중대병원6분거리 깨끗한원룸
OR,3,40,23,19.8,37.511081,126.947823,1,0,0,1,1,1,1,1,1,1,1,0,1,1,학원가인접 채광좋은 저렴한집
DDDGG,3,25,19.8,19,37.503941,126.924635,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"리모델링해줌,혼자살기좋음"
OR,1,40,19.83,19.83,37.501772,126.947055,1,1,0,1,1,1,1,1,1,1,1,0,1,1,상도역 코앞 1.5룸형 리모델링 원룸
OR,2,43,33,29.75,37.500874,126.936696,1,1,0,1,1,1,1,1,1,1,0,0,1,1, 말도 안되는 매물 나왔습니다 
OR,4,49,26,19.84,37.507749,126.932143,1,0,1,1,1,1,1,1,1,1,1,0,1,1,분리형 꿀방깔끔한 화이트톤풀옵션
OR,2,32,23.14,23,37.501191,126.948946,1,1,0,1,1,1,1,1,1,1,0,0,1,1,저렴하다상도역역세권당일입주
DDDGG,B1,40,45.1,45,37.502735,126.945602,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"바로입주,투룸,거실,반지층 햇빛들어옴,상도역 5분"
OR,1,35,23,22,37.504562,126.935673,0,1,0,0,1,1,0,1,0,1,1,1,1,1,
DDDGG,1,55,27,23,37.508656,126.944549,1,0,0,1,1,1,1,1,1,1,1,0,1,1,더블역세권 채광좋은 저렴한 1.5룸 월세 빠른입주
OR,3,55,26,14.97,37.509139,126.946723,1,0,0,1,1,1,1,1,1,1,0,0,1,1,노량진역.신축급넓은원룸. 주거지역으로 쾌적.
OR,3,45,20,19.83,37.502288,126.933696,1,1,0,1,1,1,1,1,1,1,0,0,1,1,신대방삼거리역 도보5분 지상층 가성비최고 채광치안좋음 보증금조절가능
OR,4,40,16,13.2,37.512288,126.93532,1,1,0,1,1,1,1,1,1,1,0,0,1,1,위치 좋고 가성비 좋은 원룸입니다
OR,1,35,20,16.53,37.500817,126.924228,1,1,0,1,1,1,1,1,1,1,0,0,1,1, 보라매역 초역세권 신축원룸 
OR,4,40,16,16,37.511082,126.947823,1,0,1,1,1,1,1,1,1,1,1,0,1,1,노량진 학원가부근 가격대비 방크고 채광과 통풍좋은 깨끗한 원룸
OR,3,40,23,19.8,37.512389,126.935522,1,1,0,1,1,1,1,1,1,1,1,0,1,1,깔끔하고 공부하기에도 좋은 원룸
OR,5,40,15,15,37.511377,126.947417,1,0,0,1,1,1,1,1,1,1,1,0,1,1,노량진 가성비좋은 깨끗한 풀옵션 원룸 즉시입주가능
OR,2,40,23,19.8,37.508459,126.947545,1,0,0,1,1,1,1,1,1,1,1,0,1,1,저렴한가격에 정말 깔끔한 귀한 원룸
OR,B1,32,15,12,37.50877,126.947283,1,0,1,1,1,1,1,1,1,1,0,0,1,1,신축으로 방이크고 방음이 좋은 풀옵션원룸
OR,3,39,16.5,16,37.501733,126.933484,1,1,0,1,1,1,1,1,1,1,0,0,1,1,7호선 역세권 풀옵션 보증금 적은 가성비 원룸
OR,4,43,17,16,37.511864,126.947406,1,0,0,1,1,1,1,1,1,1,0,0,1,1,노량진 무융자 리모델링한 깨끗한 위치좋은 풀옵션입니다
OR,2,47,19,19,37.510569,126.945912,1,0,1,1,1,1,1,1,1,1,0,0,1,1,CCTV가 설치되었으며 밝고 깨끗한 신축 원룸
OR,1,46,19,16.5,37.508989,126.941266,1,1,0,1,1,1,1,1,1,1,0,0,1,1,깔끔한 원룸 찾으시는분 구경하세요
OR,2,28,16,13.22,37.500941,126.930359,1,1,0,1,1,1,1,1,1,1,0,0,1,1,역세권 진짜 역 3분 인테리어 풀옵션반할수밖에
OR,B1,40,30,25,37.504386,126.951676,1,1,0,1,1,1,1,1,1,1,0,0,1,1,중대후문가까운 넓은 가성비 원룸
OR,2,46,19,17.5,37.508989,126.941266,1,1,0,1,1,1,1,1,1,1,0,0,1,1,깔끔한 원룸 찾으시는분 구경하세요
OR,1,36,19,16.5,37.508989,126.941266,1,1,0,1,1,1,1,1,1,1,1,0,1,1,깔끔한 원룸 찾으시는분 구경하세요
DDDGG,1,35,23.1,23,37.511878,126.955386,1,1,0,1,1,1,1,1,1,1,1,0,1,1,노들역3분 방1 넓고 분리형으로 내부좋습니다
OR,2,37,19,16.5,37.512074,126.936564,1,1,0,1,1,1,1,1,1,1,1,0,1,1,깔끔한 풀옵션 원룸 나왔습니다.
OR,1,25,19,16.53,37.501423,126.927804,1,1,0,1,1,1,1,1,1,1,1,0,1,1,7호선 신대방삼거리역확인매물취향저격풀옵션역도보3분
OR,2,45,21,12.07,37.500676,126.930013,1,1,1,1,1,1,1,1,1,1,1,0,1,1,초역세권 엘베있음 대형창문있는 원룸 주차가능 즉시입주
OR,1,40,13.2,13,37.501837,126.924584,1,1,1,1,1,1,1,1,1,1,1,0,1,1,실제사진O｜즉시 입주O｜현관보안O｜주차O｜보라매역 인근의 원룸
OR,1,34,15,14.21,37.509568,126.946013,1,0,0,1,1,1,1,1,1,1,0,0,1,1,가성비좋은 깔끔한 풀옵션 원룸
OR,1,40,13.2,13,37.511298,126.944095,1,1,0,1,1,1,1,1,1,1,1,0,1,1,가성비최고 관리잘 된 풀옵션 원룸 학원가 인근 입지굿
OR,B1,40,18,16.5,37.501173,126.925904,1,1,0,1,1,1,1,1,1,1,0,0,1,1,실제사진O｜즉시 입주O｜현관보안O｜인근에 학교가 많은 아늑한 방
OR,B1,38,15,14.8,37.501832,126.92791,1,1,0,1,1,1,1,1,1,1,1,0,1,1,실제사진O｜즉시 입주O｜현관보안O｜신대방삼거리역과 가까운 가성비방
OR,B1,35,19,16.52,37.500656,126.934141,1,0,0,1,1,1,1,1,1,1,0,0,1,1,상태좋은 지층 원룸 입니다  구경 오세요
OR,B1,50,20,20,37.501511,126.950602,1,1,0,1,1,1,1,1,1,1,0,0,1,1,상도역 중대후문 신축급 풀옵션 원룸
OR,2,60,19.83,19,37.508188,126.95698,1,0,1,1,1,1,1,1,1,1,1,0,1,1,정문 중문 7분 신축급 원룸 보증금 부담 없는 집
OR,B1,50,79,19.98,37.50054,126.924358,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"깔끔하고 넓은 원룸, 보라매역 초역세권, 조용한 동네"
OR,2,49,30,18,37.506221,126.948326,1,1,0,1,1,1,1,1,1,1,1,0,1,1,상도역.신축급 컨디션. 주거지역 조용하고 안전해요
OR,1,55,16.53,16,37.512324,126.943333,1,1,0,1,1,1,1,1,1,1,0,0,1,1,새단장한 풀옵션 넓은 원룸
OR,2,52,23,19,37.501142,126.950621,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"상도역 5분, 중앙대 10분 채광좋은 풀옵션"
OR,6,40,13,13,37.51255,126.943223,1,1,0,1,1,1,1,1,1,1,1,0,1,1,노량진역 학원가 인접 채광좋은 풀옵션 원룸
OR,1,30,23.14,23.14,37.500217,126.939336,1,0,0,1,1,1,1,1,1,1,1,0,1,1,2018년식 보증금조절가능 분리형 넓은 평수 쾌적한 집
DDDGG,B1,35,32.29,32,37.501106,126.935096,1,0,1,1,1,1,1,1,1,1,0,0,1,1,수리됨평지역세권옥탑방5백에25만원있음여자분환영옵션에어콘있음
OR,4,49,19.83,19.83,37.501649,126.93424,1,1,0,1,1,1,1,1,1,1,0,0,1,1,7호선 역세권 꿀매물 넓고 깔끔한 리모델링 원룸
DDDGG,B1,40,36,33,37.502735,126.945602,1,1,0,1,1,1,1,1,1,1,0,0,1,1,상도역 역세권 가성비 좋은 반지층 2룸
OR,2,38,80,11,37.511277,126.941834,1,1,0,1,1,1,1,1,1,1,0,0,1,1,조용하고 깨끗한 신축급원룸입니다.
OR,1,45,12,12,37.513028,126.942476,1,1,0,1,1,1,1,1,1,1,0,0,1,1,지하철2분거리  리모델링해서 깨끗합니다.
OR,3,48,15,15,37.512242,126.945966,1,1,0,1,1,1,1,1,1,1,1,0,1,1,채광굿 크기굿 위치굿 관리잘된 풀옵션 원룸
OR,2,33,16,13.22,37.500816,126.924228,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"급함 계약방 너어,무나도 아름답소,"
OR,1,35,14,14,37.505853,126.95492,1,0,0,1,1,1,1,1,1,1,0,0,1,1,중앙대 중문5분 1층 원룸
OR,2,47,21,17.85,37.500712,126.934578,1,0,1,1,1,1,1,1,1,1,0,0,1,1,완전신축 TV 스타일러 무인택배함 이런방이 이가격 무야호
DDDGG,1,35,20,16,37.511765,126.955285,1,1,0,1,1,1,1,1,1,1,1,0,1,1,노들역 초역세권 풀옵션 저렴한 원룸 월세
OR,B1,45,20,18,37.506346,126.946436,1,1,0,1,1,1,1,1,1,1,1,0,1,1,상도역 풀옵션 저렴한 원룸 월세
OR,1,27,14.92,14,37.503849,126.934701,1,1,0,1,1,1,1,1,1,1,0,0,1,1,7호선 장승배기역 도보5분 원룸
OR,1,50,25,20,37.508373,126.956318,0,0,0,0,0,1,0,0,0,1,1,0,0,1,
OR,2,35,25,20,37.500656,126.934141,0,0,1,1,0,0,1,1,1,1,0,1,1,1,
OR,4,55,25,20,37.505351,126.946073,0,1,0,1,1,1,0,1,0,0,1,0,1,1,
VL,2,40,78,52.26,37.506735,126.940371,0,1,0,0,0,0,1,1,0,1,1,0,0,1,
OR,2,40,21,20,37.510272,126.925894,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"대방역 3번출구 신길초옆 노량진 공시생, 여의도 직장인 강력추천."
OR,2,36,21,17.52,37.501292,126.939943,1,1,0,1,1,1,1,1,1,1,1,0,1,1,장승베기역세권 이정도 분리형 본사람
OR,2,45,26,23.14,37.500712,126.934578,0,0,1,0,1,1,0,0,1,1,0,1,1,0,
OR,3,50,18,15,37.510096,126.941301,1,1,0,1,1,1,1,1,1,1,1,0,1,1,풀 옵션의 조용한 주택가 원룸입니다
OR,1,45,49,17,37.510755,126.941418,1,1,0,1,1,1,1,1,1,1,0,0,1,1,조용하면서 전용이 넓은 원룸입니다
DDDGG,2,60,40,40,37.510344,126.938673,1,1,0,1,1,1,1,1,1,1,1,0,1,1,노량진역 동작구청 후문뒤 풀옵션 방3칸즉시입주가
OR,2,45,19,16.53,37.500739,126.930946,1,1,0,1,1,1,1,1,1,1,0,0,1,1,신대방삼거리역 도보3분 초역세권 융자없는 지상층 풀옵션 원룸
OR,1,40,16,16,37.510007,126.945895,1,0,0,1,1,1,1,1,1,1,1,0,1,1,새단장한 풀옵션 넓은 원룸
OR,3,43,13,13,37.51255,126.943223,1,1,1,1,1,1,1,1,1,1,0,0,1,1,노량진역 초역세권 학원가 풀옵션 원룸
OR,4,35,18,16,37.51147,126.926318,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"대방역 바로앞, 저렴한 풀옵션 원룸 ,깨끗, 빠른입주가능"
OR,5,42,16,14,37.510442,126.944243,1,0,1,1,1,1,1,1,1,1,0,0,1,1,학원가 마을버스길 인근 단기가능한 깔끔한 원룸
OR,B1,40,29,20.4,37.50066,126.951552,1,1,0,1,1,1,1,1,1,1,0,0,1,1,융자없는집. 넓고관리잘되는집. 가성비좋은집
OR,B1,45,30,19.8,37.501948,126.950379,1,1,0,1,1,1,1,1,1,1,1,0,1,1,상도역. 대로변신축. 중대통학가
OR,2,35,19,16.53,37.504286,126.924723,1,1,1,1,1,1,1,1,1,1,1,0,1,1," S 즉시가능, 주차가능, 가성비 좋은 지상층 풀옵션"
OR,B1,50,21,19,37.501948,126.950379,1,1,0,1,1,1,1,1,1,1,0,0,1,1,상도역 큰대로변 신축급 원룸
OR,B1,40,30,19,37.50066,126.951552,1,1,0,1,1,1,1,1,1,1,0,0,1,1,한학기가능. 중대통학가능한 가성비 원룸
DDDGG,3,42,19,16.53,37.503059,126.948727,0,1,0,0,0,0,1,1,1,1,1,0,1,0,
OR,B1,30,22,20,37.504423,126.952741,1,0,0,1,1,1,1,1,1,1,1,0,1,1,중대후문앞 넓고 저렴한 원룸.
VL,2,40,19,16.53,37.501837,126.924584,1,1,1,1,1,1,1,1,1,1,1,0,1,1," S 지상층 풀옵션, 남향, 주차가능, 즉시가능, 역세권"
OR,1,41,16,13.22,37.501564,126.948299,0,1,0,1,0,1,1,0,0,1,0,0,0,0,
DDDGG,1,45,40,35,37.510832,126.94097,1,1,1,1,1,1,1,1,1,1,1,0,1,1,투룸입니다
OR,2,45,19.83,19.83,37.503396,126.933766,1,1,0,1,1,1,1,1,1,1,1,0,1,1,장승배기역 바로앞 깔끔한 양창 원룸
OR,3,50,23,19.83,37.504181,126.934127,1,1,0,1,1,1,1,1,1,1,0,0,1,1,요즘 보기 힘든 큰방이면서 금액도 착해요
OR,3,45,23.2,23,37.502583,126.927677,1,1,1,1,1,1,1,1,1,1,0,0,1,1,신축급 깔끔한 지상층 원룸 월세
OR,3,45,19,16.52,37.502288,126.933696,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"신대방삼거리역, 장승배기역 7호선 더블역세권 원룸"
OR,B1,35,19,16.52,37.504103,126.934724,1,1,0,1,1,1,1,1,1,1,0,0,1,1,조용한 주택가 깔끔한 가성비 원룸
OR,1,37,16,14,37.512491,126.944764,1,1,0,1,1,1,1,1,1,1,0,0,1,1,노량진 학원가 3분거리 내 단기가능 풀옵션 원룸
OR,B1,35,17,14,37.511802,126.942184,1,1,0,1,1,1,1,1,1,1,1,0,1,1,노량진 학원가 단기가능한 깔끔한 반지층 원룸
OR,5,47,14.88,14.88,37.511298,126.944095,1,1,0,1,1,1,1,1,1,1,0,0,1,1,안심추천.깔끔.풀옵션.가성비굿.
