type,floor,rent,spc1,spc2,lat,lng,toilet,station,parking,internet,gas,washing_machine,air_conditioner,refrigerator,elevator,microwave,breakfast,heating,move_in_date,sink,introduce
OR,4,60,31,20,37.537677,127.085115,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"리모델링한 신축급 풀옵션 원룸, 구의역 1분"
DDDGG,1,55,164,22,37.537757,127.067473,1,1,0,1,1,1,1,1,1,1,0,0,1,1,올수리2년차 보증금최소월세 대출없음
DDDGG,3,60,10.08,10,37.539191,127.065127,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"옥상 단독 사용, 풀옵션 공간 활용 좋은 원룸"
OR,B1,30,17,17,37.537696,127.064466,1,0,1,1,1,1,1,1,1,1,0,0,1,1,건대입구역세권 도보8분 깔끔한 풀옵션 원룸
OR,2,50,19,16,37.538448,127.093432,1,1,0,1,1,1,1,1,1,1,0,0,1,1,풀옵션 남향 밝고 깨끗 초역세권 즉시입주가능
DDDGG,3,29,55,11.56,37.571071,127.080557,1,0,0,1,1,1,1,1,1,1,1,0,1,1,중곡동 깔끔한 풀옵션 원룸
OR,B1,30,23,22,37.531167,127.078616,1,0,1,0,0,0,1,0,0,1,0,1,1,0,
OR,B1,35,25,23,37.52506,126.853333,1,1,1,1,1,1,1,1,1,1,1,0,1,1,신정역2분 풀옵션 빠른입주가능
DDDGG,1,40,35,30,37.523038,126.850488,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"신정네거리역,신정역 풀옵션1.5룸 주차가능 단기임대"
DDDGG,3,40,31,31,37.518012,126.842758,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"상태깨끗,이사협의,생활편리,교통이용편리"
DDDGG,1,35,39,34.6,37.519834,126.849902,1,1,0,1,1,1,1,1,1,1,0,0,1,1,방2화1 지하철도보이용 도배.장판.씽크대 수리함. 방넓고 주방공간있어요
DDDGG,1,40,39,34.6,37.519834,126.849902,1,1,0,1,1,1,1,1,1,1,1,0,1,1,방2화1베1 저렴한지상층 주방공간O 지하철도보이용 연식대비깔끔 언덕위치함
DDDGG,B1,30,104,23,37.52194,126.849647,1,1,0,1,1,1,1,1,1,1,1,0,1,1,신정네거리역세권. 계단없는 지층. 방1.화1. 상태깨끗해요
DDDGG,B1,35,25,25,37.52194,126.849647,1,1,1,1,1,1,1,1,1,1,1,0,1,1,계단없음 지층임1층같음 방 주방 크고 깨끗함 즉시입주 신정네거리역5분
DDDGG,4,35,32,30,37.519244,126.854831,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"전철3분,신서학군,즉시입주,공원앞"
DDDGG,3,60,32.68,32,37.521049,126.854274,1,0,0,1,1,1,1,1,1,1,1,0,1,1,올수리 투룸 옥상마당 사용가능 사무실 공방 등 사용가능
DDDGG,1,35,35,35,37.520162,126.850106,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"깔끔수리 함,즉시입주,전철5분"
DDDGG,4,25,9.9,9,37.519564,126.850667,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"분리형 원룸, 풀옵션, 옥상 마당 사용 가능한 옥탑"
DDDGG,5,40,35,20,37.524496,126.851967,1,1,1,1,1,1,1,1,1,1,1,0,1,1,역세권 I 대로변 1.5룸 월세 I 설명란 확인
DDDGG,B1,35,39.1,39,37.519834,126.849902,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"도배장판,싱크대,변기교체. 지하철역인접. 계단없는바닥1층"
DDDGG,B1,25,31,31,37.517218,126.849807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,즉시입주가 계단없는 지층 에어컨 가스렌지있음 상태 양호
VL,1,40,38.26,38,37.519335,126.848704,1,0,1,1,1,1,1,1,1,1,0,0,1,1,보증금 조정가능 진입이 편리하며 거주자 우선주차지역 방 오전만 볼수있음
DDDGG,1,40,39.1,39,37.519834,126.849902,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"싱크대,변기,벽지,바닥교체. 지하철역인접.보일러실 넓어요. 1.5층"
OR,B1,30,25,17,37.545565,126.874293,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"염창역도보2분,풀옵션"
OR,1,30,13,12.4,37.533452,126.865459,1,0,0,1,1,1,1,1,1,1,0,0,1,1,목사거리인근 신축급 올수리 여성전용 원룸
OR,B1,30,23,18.18,37.545565,126.874293,1,1,0,1,1,1,1,1,1,1,0,0,1,1,염창역 최저가 풀옵션 관리 잘해서 깔끔한 원룸
VL,3,47,19,15.75,37.534834,126.866647,1,0,0,1,1,1,1,1,1,1,1,0,1,1,깔끔하고 실용적인 저렴한 원룸월세
DDDGG,5,40,32,10.08,37.533862,126.864318,1,0,1,1,1,1,1,1,1,1,1,0,1,1,주차가능.옥탑방전용면적9.넓음.풀옵션.옥상씀.큰도로옆안전
OR,5,41,17,11.67,37.550155,126.86598,1,1,0,1,1,1,1,0,1,1,0,1,0,0,
DDDGG,B1,40,35,35,37.533696,126.865138,1,0,1,1,1,1,1,1,1,1,1,0,1,1,조용한 주택가. 바닥층. 도배 등 수리되어깨끗. 대중교통이용편리
DDDGG,B1,40,39,35.6,37.533696,126.865138,1,0,1,1,1,1,1,1,1,1,1,0,1,1,올수리 깨끗한 방2
OR,5,41,17,11.67,37.550155,126.86598,1,1,0,1,1,1,1,1,1,1,0,0,1,1,등촌역 초역세권 보증금 저렴한 원룸
OR,5,41,17,11.67,37.550155,126.86598,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"안전한 대로변위치,9호선 등촌역 깨끗한 풀옵션"
VL,2,57,39.57,39,37.524506,126.862248,1,1,0,1,1,1,1,1,1,1,0,0,1,1,풀옵션 깔끔 채광좋은 바닥층 목동역4분 빌라형 다가구
DDDGG,2,35,9.92,9,37.527068,126.861904,1,1,0,1,1,1,1,1,1,1,1,0,1,1,목동역 단독주택에 있는 옥탑 입니다.
DDDGG,3,25,26.45,26,37.534563,126.824885,1,0,1,1,1,1,1,1,1,1,1,0,1,1,신월3동옥탑방
OR,5,42,23.14,23.14,37.534291,126.829007,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"JS드림,대로변,복층,저렴한관리비"
OR,6,44,23.14,23.14,37.534291,126.829007,1,0,0,1,1,1,1,1,1,1,1,0,1,1,"JS드림,대로변,복층,저렴한관리비"
DDDGG,B1,40,33.16,33,37.54056,126.832364,1,0,0,1,1,1,1,1,1,1,0,0,1,1,신축수준으로 올수리 밝고 습기없는 반지층 방2
DDDGG,1,35,22.46,22,37.532368,126.825228,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"신월사거리 8분,다가구 지상1층 방2,벽걸이에어컨 옵션,실면적 약7"
OR,1,37,14,12,37.513309,126.945607,1,1,0,1,1,1,1,1,1,1,1,0,1,1,권리관계확실한 풀옵션전세원룸
OR,3,35,14,11,37.508466,126.946443,1,0,1,1,1,1,1,1,1,1,0,0,1,1,고시원가격의 가성비좋은 풀옵션원룸
OR,1,32,15,13,37.508769,126.947283,1,0,1,1,1,1,1,1,1,1,0,0,1,1,고시원가격의 풀옵션원룸
OR,B1,28,20,16,37.508613,126.947413,1,0,0,1,1,1,1,1,1,1,0,0,1,1,권리관계확실한 고시원가격의 풀옵션원룸입니다
OR,2,40,16,16,37.511081,126.947823,1,0,1,1,1,1,1,1,1,1,1,0,1,1,노량진 학원가부근 가격대비 방크고 채광과 통풍좋은 깨끗한 원룸
OR,1,28,16,13.22,37.502576,126.927457,0,1,0,0,1,1,1,0,1,1,1,1,1,1,
OR,2,55,20,18,37.508682,126.946478,1,0,1,1,1,1,1,1,1,1,1,0,1,1,대로변이고 동선이 안전한 창문이2개임
OR,1,37,18,18,37.511081,126.947823,1,0,0,1,1,1,1,1,1,1,0,0,1,1,방에 비해 정말 가격저렴하고 채광과 통풍좋은 깨끗한 원룸
OR,1,32,15,12,37.508376,126.946456,1,0,0,1,1,1,1,1,1,1,1,0,1,1,집주인이 관리를잘해주는 권리관계확실한 매물입니다
OR,4,47,15,13,37.50868,126.947534,1,0,1,1,1,1,1,1,1,1,1,0,1,1,2018년신축한 방음이뛰어난풀옵션원룸
OR,1,38,16,13.22,37.501832,126.92791,0,1,0,1,1,0,0,0,1,0,0,0,0,1,
OR,2,31,16,13.22,37.503334,126.933507,1,1,0,1,1,1,1,1,1,1,0,0,1,1,저렴한 원룸이 있다 깔끔한을 원한다면 한번 봅시다
