atclNm,flrInfo,rentPrc,spc1,spc2,lat,lng,atclFetrDesc,toilet,station,parking
DDDGG,2,35,9,9.92,37.527068,126.861904,목동역 단독주택에 있는 옥탑 입니다.,0,1,0
DDDGG,3,25,26,26.45,37.534563,126.824885,신월3동옥탑방,0,0,1
OR,5,42,-,23.14,37.534291,126.829007,"JS드림,대로변,복층,저렴한관리비",0,0,0
OR,6,44,-,23.14,37.534291,126.829007,"JS드림,대로변,복층,저렴한관리비",0,0,0
DDDGG,B1,40,33,33.16,37.54056,126.832364,신축수준으로 올수리 밝고 습기없는 반지층 방2,1,0,0
DDDGG,1,35,22,22.46,37.532368,126.825228,"신월사거리 8분,다가구 지상1층 방2,벽걸이에어컨 옵션,실면적 약7",0,0,0
OR,1,37,14,12,37.513309,126.945607,권리관계확실한 풀옵션전세원룸,0,1,0
OR,3,35,14,11,37.508466,126.946443,고시원가격의 가성비좋은 풀옵션원룸,0,0,1
OR,1,32,15,13,37.508769,126.947283,고시원가격의 풀옵션원룸,0,0,1
OR,B1,28,20,16,37.508613,126.947413,권리관계확실한 고시원가격의 풀옵션원룸입니다,1,0,0
OR,2,40,16,16,37.511081,126.947823,노량진 학원가부근 가격대비 방크고 채광과 통풍좋은 깨끗한 원룸,0,0,1
OR,1,28,16,13.22,37.502576,126.927457,,0,1,0
OR,2,55,20,18,37.508682,126.946478,대로변이고 동선이 안전한 창문이2개임,0,0,1
OR,1,37,18,18,37.511081,126.947823,방에 비해 정말 가격저렴하고 채광과 통풍좋은 깨끗한 원룸,0,0,0
OR,1,32,15,12,37.508376,126.946456,집주인이 관리를잘해주는 권리관계확실한 매물입니다,0,0,0
OR,4,47,15,13,37.50868,126.947534,2018년신축한 방음이뛰어난풀옵션원룸,0,0,1
OR,1,38,16,13.22,37.501832,126.92791,,0,1,0
OR,2,31,16,13.22,37.503334,126.933507,저렴한 원룸이 있다 깔끔한을 원한다면 한번 봅시다,0,1,0
OR,B1,34,19,16.5,37.509568,126.946013,저렴하고 화이트톤의 깨끗한 매물,1,0,0
OR,2,50,23,19.8,37.500102,126.933507,신대방삼거리역 1번출구 도보 3분 초역세권 저렴하고 깔끔한 원룸,0,1,1
OR,1,36,19,16.5,37.512204,126.936138,깔끔한 가성비 좋은 원룸풀옵션,0,1,0
OR,1,35,23,19.8,37.504562,126.935673,장승배기역 4번출구 도보 3분거리 초역세권 도배예정 깔끔한 원룸여기,0,1,0
OR,B1,32,19,16.52,37.503334,126.933507,장승배기역 도보 7분 역세권 풀옵션 가성비 좋은 원룸,0,1,0
OR,2,37,15,15,37.512401,126.946188,가성비최고 크기좋고 깨끗한 풀옵션 원룸,0,1,0
OR,1,40,19,16.52,37.501837,126.924584,보라매역 도보 8분 풀옵션 원룸,0,1,0
OR,2,40,19,16.52,37.511596,126.938471,노량진 학원가 인접 깔끔한방 ,0,1,0
OR,B1,35,19,16.52,37.501324,126.927407,신대방삼거리역 도보 3분 깔끔하고 가성비 좋은 원룸,0,1,0
OR,B1,42,19,16.52,37.501686,126.927859,신대방삼거리역 도보 4분 풀옵션 역세권 원룸,0,1,0
OR,1,38,19,16.52,37.502724,126.924984,가성비 끝판왕 풀옵션 원룸,0,0,0
OR,B1,40,19,16.52,37.501173,126.925904,신대방삼거리역 도보 4분 초역세권 풀옵션 원룸,0,1,0
OR,1,60,33,23.1,37.503738,126.951926,중앙대 초역세권 가장 넓은 원룸,0,0,0
OR,3,40,23,19.8,37.512297,126.935181,위치놓고깔끔한원룸,0,1,0
OR,3,58,23,19.8,37.512297,126.935181,위치놓고깔끔한원룸,0,1,0
OR,B1,35,19,16.52,37.500816,126.924228,보라매역 도보 5분 초역세권 풀옵션 원룸,0,1,0
OR,3,40,23,19.8,37.512297,126.935181,위치놓고깔끔한원룸,0,1,0
OR,B1,42,19,16.52,37.50054,126.924358,신대방삼거리역 보라매역 도보 5분거리 역세권 풀옵션 원룸,0,1,0
OR,2,40,19,16.5,37.510986,126.943759,컨디션 좋은 가성비 최고매물,0,1,0
OR,3,43,12,12,37.512498,126.946252,가성비굿 위치좋고 컨디션 좋은 리모델링 귀한 매물,0,1,0
OR,1,43,18,15,37.508682,126.946478,대로변이고 동선이 안전한 2018년신축된 방음이좋은원룸,0,0,0
OR,1,33,19,16.5,37.512204,126.936138,노량진에서 귀한 큰 원룸입니다,0,1,0
OR,2,44,22,12.47,37.508563,126.946556,실제면적 훨씬 넓고 앞이 틔여있어 채광좋고 깨끗한 도시형생활주택,0,0,1
OR,2,38,23,19.8,37.512443,126.936114,노량진에서 보기힘든 완전깔끔한 화이트톤원룸,0,1,0
OR,1,29,19,16.5,37.512535,126.934998,깔끔하고 저렴한 원룸 찾으시는분들,0,1,0
OR,1,30,16,13.2,37.511229,126.943678,저렴하고 위치좋은 원룸 찾으시나,0,1,0
OR,1,45,19,16.5,37.51119,126.938202,깔끔하고 단아한 원룸입니다,0,1,0
OR,2,45,18,17,37.512043,126.936445,깔끔한 풀옵션 원룸 월세 나왔습니다.,1,1,0
OR,1,29,19,16.5,37.512535,126.934998,깔끔하고 저렴한 원룸 찾으시는분들,0,1,0
OR,2,30,16,13.2,37.510126,126.939822,위치좋은 저렴한 노량진 원룸3,0,1,1
OR,2,36,19,16.5,37.511987,126.940915,깔끔하고 위치 좋은 원룸입니다,0,1,0
OR,1,46,19,17.5,37.508988,126.941266,깔끔한 원룸 찾으시는분 구경하세요,0,1,0
OR,B1,25,10,10,37.508563,126.946556,가격저렴하고 깨끗하며 노량진역 도보 10분거리,0,0,1
OR,2,40,20,17,37.509783,126.945991,풀옵션 깨끗한 원룸 매물 나왔습니다.,1,0,0
OR,2,48,19,16.5,37.511596,126.938471,위치좋은깔끔한원룸입니다,0,1,0
OR,2,29,23,19.8,37.51251,126.935118,가성비최고 원룸,0,1,0
OR,3,37,17,15.4,37.512337,126.936131,"진짜 깔끔한 꿀매물,  가격도 저렴해요",0,1,0
OR,2,43,19,16.5,37.511596,126.938471,위치좋은깔끔한원룸입니다,0,1,0
OR,3,43,19,16.5,37.509735,126.941879,저렴한가격에 신축느낌나는 원룸,1,0,0
OR,5,40,16,13.2,37.512109,126.943524,저렴하고 치안좋은 노량진 원룸,0,1,1
OR,2,45,19,19.8,37.512297,126.935181,깔끔하고 넓직한 원룸입니다.,0,1,0
OR,B1,35,16,16.5,37.508452,126.947329,저렴한 원룸입니다,1,0,1
OR,3,42,19,16.5,37.508384,126.947607,"노량진 깔끔하고 넓직한 원룸, 창고식 베란다도 있습니다",1,0,1
OR,4,47,15,15,37.512324,126.945657,위치굿 컨디션굿 풀옵션 크기좋은 가성비 원룸,0,1,0
OR,B1,37,19,16.5,37.509568,126.946013,저렴하고 화이트톤의 깨끗한 매물,1,0,0
OR,B1,40,19,16.5,37.512271,126.945745,위치좋은 노량진 원룸 입니다,0,1,0
OR,2,50,19,19.8,37.512648,126.937245,리모델링 깔끔하고 이쁜 공간 노량진역 큰대로변 초근접,0,1,0
OR,2,43,15,12,37.510208,126.945892,정남향으로 채광이 좋습니다,1,0,0
OR,B1,30,15,14,37.508613,126.947413,고시원가격의 풀옵션원룸,1,0,0
OR,2,37,15,13,37.508769,126.947283,신축으로 방이크고 방음이 좋은 풀옵션원룸,0,0,1
OR,B1,37,18,16,37.508775,126.94706,2016년신축한 방음이뛰어난풀옵션원룸,0,0,1
VL,3,45,20,16.24,37.511696,126.955595,귀한원룸  풀옵션원룸으로  입주협의,0,1,1
OR,2,33,22,15.03,37.501504,126.924261,더블역세권 대방동 원룸,1,1,0
OR,2,60,20,19,37.509296,126.931714,"방이 아주 크고,  깨끗하며 조용한 원룸",1,0,0
OR,B1,40,16,14.87,37.500476,126.926728,실제사진 O｜즉시입주 O｜학교 인근의 조용하고 깨끗한 분리형 원룸,0,1,0
OR,4,38,16,15.87,37.509783,126.945991,풀옵션 원룸,1,0,0
OR,2,52,23,17.5,37.501142,126.950621,"중앙대,숭실대 풀옵션 원룸",0,1,0
OR,1,30,20,19.83,37.501315,126.934875,장승배기역 도보7분 원룸치고 큰방큰방 보증금조절가능 빨리보세요,1,0,0
